name,review_text_compound
ALDI,0.9118
ALDI,0.0516
ALDI,0.296
ALDI,0.2946
ALDI,0.7269
ALDI,-0.092
ALDI,0.7964
ALDI,0.9231
ALDI,-0.6808
ALDI,0.8044
ALDI,0.2212
ALDI,0.8807
ALDI,0.7906
ALDI,0.4404
ALDI,0.1779
ALDI,0.8271
ALDI,0.4129
ALDI,0.128
ALDI,-0.4767
ALDI,-0.7152
ALDI,0.6486
ALDI,0.9201
ALDI,0.9274
ALDI,0.9153
ALDI,0.0
ALDI,0.2732
ALDI,0.8934
ALDI,-0.4222
ALDI,0.4939
ALDI,-0.8357
ALDI,0.8807
ALDI,0.6249
ALDI,-0.1779
ALDI,0.4215
ALDI,0.6486
